192,132
199,139
192,137
177,135
172,134
204,133
192,133
224,134
180,138
180,135
180,134
180,138
209,139
207,139
212,135
204,139
212,139
220,131
217,132
220,133
204,131
180,139
225,139
220,137
172,136
185,133
216,134
215,130
164,133
215,134
221,139
212,132
189,139
204,132
213,134
165,130
174,134
200,130
177,130
217,133
206,139
172,136
177,133
220,131
225,130
164,131
215,134
180,130
166,139
177,139
191,139
165,130
199,130
185,133
164,139
204,134
220,137
200,138
201,131
172,139
204,136
172,130
204,138
172,135
225,139
201,138
222,134
196,135
220,131
168,139
184,134
166,139
220,130
169,133
180,135
192,138
177,131
222,139
180,135
205,139
164,132
180,130
177,136
196,133
164,130
185,131
221,134
177,138
216,134
198,130
184,134
220,138
172,135
223,130
220,136
217,132
177,136
180,137
177,130
196,132
204,132
166,130
172,132
204,130
212,130
216,130
172,133
166,139
192,133
212,130
180,134
224,130
222,134
204,138
168,130
169,132
221,134
204,131
212,132
169,137
164,130
213,130
200,135
220,134
180,133
180,133
204,134
164,133
173,134
169,137
201,136
172,139
196,137
212,131
174,134
184,130
200,130
201,135
164,135
177,133
180,139
164,134
164,134
213,134
214,130
220,130
184,134
167,130
204,138
172,138
220,135
192,131
200,130
165,134
196,131
164,132
167,134
200,135
216,134
191,130
168,139
177,134
215,130
225,130
177,135
185,131
220,130
181,134
225,130
164,137
167,139
192,133
200,138
177,132
214,134
217,133
169,131
192,135
204,134
213,130
172,139
185,133
196,134
183,130
172,134
197,139
185,132
176,134
193,130
199,135
180,137
223,139
169,138
164,130
192,131
183,134
192,136
180,138
214,130
190,139
188,137
180,134
199,130
223,134
204,137
181,130
209,139
214,134
183,130
166,134
172,137
180,131
196,137
164,134
182,134
169,135
168,130
220,134
168,134
212,138
221,130
189,139
213,134
177,136
192,136
198,139
172,135
196,134
180,131
222,130
180,132
192,134
196,134
192,136
189,139
197,130
212,138
204,132
164,136
220,139
204,139
192,138
198,130
220,137
201,135
212,134
169,136
196,137
164,136
212,136
207,139
220,136
192,137
167,134
222,130
204,130
183,130
201,137
212,130
192,131
204,133
221,130
168,134
169,135
180,136
169,133
175,134
164,136
166,130
169,131
221,130
196,138
192,137
177,134
222,130
196,132
224,139
180,131
212,137
212,133
212,133
177,135
204,135
172,138
209,139
208,139
214,130
196,136
217,131
212,138
175,134
188,138
204,139
214,134
180,132
172,132
208,139
164,133
185,131
220,132
180,137
190,139
193,130
204,136
221,134
176,134
204,131
216,130
206,139
212,132
169,133
164,138
191,139
201,137
204,136
164,139
220,138
212,136
212,131
220,132
183,134
188,138
177,137
177,137
168,130
192,138
175,134
196,133
201,139
201,131
172,131
204,133
165,139
220,136
204,130
223,139
198,139
192,130
196,132
217,133
182,130
200,138
164,139
199,130
223,139
177,130
192,134
172,134
196,131
196,136
180,130
183,134
220,134
169,135
220,132
